YEA	MON	DAY	PRO	NUM	COU	H	MN	SEC	TZ	LAT	LON	COD	CITY		

1817	3	25	C	185	F	5	16	24	0	48N 0	4W 6	29	CONCARNEAU
1827	5	28	C	414	I	20	8	0	-1	43N 0	13E 0	PG	TODI
1854	8	4	C	349	I	17	32	0	-1	44N48	10E45	PR	PARMA
1862	6	3	C	876	F	6	51	16	0	48N50	2E11	92	ASNIERES
1862	9	12	C	445	I	11	0	0	-1	41N 0	15E 0	AV	AVELLINO
1864	5	13	C	1226	G	14	23	0	-1	50N30	9E15	HESS	FRANKFURT/MAIN
1865	1	31	C	806	F	4	50	40	0	48N50	2E20	75	PARIS 10E
1865	11	16	C	313	I	13	28	0	-1	43N 0	13E 0	PG	PERUGIA
1868	10	18	C	119	I	20	10	4	-1	45N 0	8E 0	TO	TORINO
1869	1	2	C	397	I	15	10	4	-1	45N30	9E15	MI	MILANO
1869	1	21	C	559	F	2	43	40	0	48N18	4E 5	10	CLAIRVAUX
1869	6	2	C	195	F	5	35	52	0	47N15	6E 2	25	MONTBELIARD
1869	12	26	C	1192	N	4	37	20	0	50N51	5E40	L	BLERICK
1870	10	13	C	361	I	5	10	4	-1	45N 0	8E 0	TO	TORINO
1871	3	21	C	448	I	10	40	4	-1	45N48	9E 0	VA	BUSTO ARSIZIO
1871	7	3	C	411	I	20	10	4	-1	45N36	9E45	BG	BERGAMO
1871	9	28	C	258	I	1	10	4	-1	44N54	8E30	AT	GRAZZANODELMONF
1872	2	1	C	282	I	1	10	4	-1	44N12	12E30	FO	RIMINI
1872	2	24	C	1705	F	2	47	40	0	50N39	3E 5	59	CROIX
1872	3	13	C	162	F	20	22	24	0	47N54	1E54	45	ORLEANS
1872	4	16	C	484	I	13	10	4	-1	41N54	12E30	RM	ROMA
1872	9	12	C	382	I	14	10	4	-1	40N36	16E45	MT	MATERA
1872	12	1	C	1114	B	3	38	0	0	50N39	5E30	LIE	LIEGE
1872	12	20	C	558	F	2	51	40	0	49N26	2E 5	60	NOYON
1873	5	23	C	354	I	6	10	4	-1	45N12	9E 0	PV	PALESTRO
1873	6	16	C	405	I	9	0	4	-1	45N 0	9E 0	AL	TORTONA
1873	9	17	C	1807	F	12	50	40	0	48N50	2E20	75	PARIS 6E
1873	10	19	C	1196	N	9	33	44	0	53N13	6E34	GR	GRONINGEN
1873	10	24	C	1369	F	10	35	24	0	47N37	6E 9	70	THEULEY-LES-LAV
1874	1	18	C	335	I	6	10	4	-1	41N 0	15E 0	AV	AVELLINO
1874	6	30	C	473	I	2	40	4	-1	45N30	9E 0	NO	TRECATE
1874	7	11	C	513	B	17	38	0	0	50N39	5E30	LIE	LIEGE
1874	8	14	C	460	I	6	10	4	-1	41N54	12E30	RM	ROMA
1874	9	2	C	440	I	2	25	4	-1	44N 0	10E15	SP	LA SPEZIA
1874	11	28	C	280	I	1	10	4	-1	44N24	7E15	CN	BAGNASCO
1875	2	20	C	198	F	18	20	16	0	44N56	2E26	15	AURILLAC
1875	3	6	C	1878	F	5	50	40	0	48N50	2E20	75	PARIS 6E
1875	3	31	C	834	F	9	39	52	0	47N19	5E 2	21	SANTENAY
1875	4	15	C	416	I	16	10	4	-1	45N30	9E15	MI	MILANO
1875	4	27	C	336	I	20	10	4	-1	40N54	14E 0	NA	NAPOLI
1876	2	8	C	1208	N	17	41	28	0	52N22	4E38	NH	A'DAM
1876	2	16	C	1222	G	23	11	40	-1	50N20	8E20	WIES	WIESBADEN-BIEBR
1876	2	26	C	916	I	22	25	4	-1	44N36	10E45	RE	CORREGIO
1876	5	10	C	829	F	0	46	40	0	46N34	3E20	03	AINAY-LE-CHATEAU
1876	5	29	C	2083	F	3	57	36	0	44N50	0W34	33	SAUVETERRE-D-G
1876	8	4	C	363	I	5	10	4	-1	43N 0	13E45	AP	ASCOLI PICENO
1876	9	9	C	2037	F	15	24	0	0	48N27	1E30	28	CHARTRES
1877	1	14	C	788	F	3	57	28	0	44N12	0E38	47	MARMANDE
1877	1	27	C	221	F	6	50	40	0	48N50	2E20	75	PARIS 20E
1877	3	1	C	242	I	1	40	4	-1	41N54	12E30	RM	ROMA
1877	4	8	C	496	I	6	40	4	-1	45N30	9E15	MI	MILANO
1877	5	24	C	193	F	17	50	40	0	48N50	2E20	75	PARIS 4E
1877	7	6	C	1697	F	12	1	28	0	43N18	0W22	64	BIARRITZ
1877	7	10	C	383	I	23	40	4	-1	43N 0	13E45	AP	GROTTAMAREDIASC
1877	8	4	C	228	F	6	35	12	0	48N42	6E12	54	PIERREPONT
1877	8	4	C	297	I	16	10	4	-1	39N24	9E 0	CA	CAGLIARI
1877	8	6	C	432	I	14	25	4	-1	45N48	8E 0	AO	BARD
1877	8	27	C	419	I	1	25	4	-1	44N24	7E15	CN	SALICETODIMONDO
1877	11	12	C	455	I	19	40	4	-1	45N30	9E15	MI	MILANO
1877	11	22	C	409	I	10	10	4	-1	43N24	13E15	MC	CINGOLI
1878	3	31	C	314	I	5	25	4	-1	41N54	12E30	RM	ROMA
1878	5	10	C	253	I	22	10	4	-1	40N36	18E 0	BR	BRINDISI
1878	5	26	C	428	I	15	40	4	-1	44N30	11E 0	BO	BOLOGNA
1878	7	16	C	321	I	7	25	4	-1	45N30	12E30	VE	CAVARZERE
1878	7	16	C	402	I	12	10	4	-1	44N48	10E45	PR	PARMA
1878	11	11	C	958	I	1	20	4	-1	45N12	9E 0	PV	VOGHERA
1878	11	21	C	302	I	14	25	4	-1	44N 0	13E 0	PS	FANO
1878	12	23	C	461	I	16	10	4	-1	44N24	9E 0	GE	GENOVA
1879	2	19	C	254	I	13	55	4	-1	43N42	13E45	AN	SENIGALLIA
1879	3	30	C	485	I	4	10	4	-1	45N30	9E15	MI	MILANO
